Fecha,IPGN mxn,IPGN usd,Tipo cambio
2018/02,79.7001,4.514,18.6282
2018/03,68.9135,3.8915,18.6839
2018/04,74.4011,4.2786,18.3464
2018/05,69.8297,3.7802,19.4894
2018/06,76.1983,3.9582,20.3105
2018/07,71.3207,3.9361,19.1171
2018/08,72.8852,4.0884,18.8089
2018/09,77.4051,4.2861,19.0539
2018/10,49.5242,2.7409,19.0638
2018/11,60.9126,3.1737,20.25
2018/12,63.5531,3.3231,20.1775
2019/01,69.2036,3.7998,19.2154
2019/02,44.1659,2.4282,19.1902
2019/03,41.1985,2.2599,19.2339
2019/04,27.7488,1.539,19.0231
2019/05,26.4848,1.4639,19.0883
2019/06,35.0276,1.9157,19.2912
2019/07,30.437,1.6842,19.0669
2019/08,35.563,1.9154,19.5896
2019/09,48.2473,2.5939,19.6242
2019/10,41.4265,2.2564,19.3701
2019/11,46.7254,2.5552,19.2931
2019/12,56.0228,3.0821,19.1776
2020/01,43.61,2.4466,18.806
2020/02,33.2527,1.8695,18.7664
2020/03,35.9665,1.7273,21.969
2020/04,37.919,1.6492,24.2579
2020/05,54.9664,2.4573,23.6004
2020/06,45.3095,2.1519,22.2153
2020/07,42.8696,2.0117,22.4836
2020/08,44.91,2.1308,22.237
2020/09,46.2732,2.2555,21.645
2020/10,42.3278,2.0912,21.3558
2020/11,58.9802,3.0342,20.5088
2020/12,68.8629,3.636,19.9821
2021/01,63.8452,3.3868,19.8889
